,index,Date,State,Population Staying at Home,Population Not Staying at Home,nTrips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Number_of_Trips_1_25,Number_of_Trips_25_250,Number_of_Trips_250_,positive,positiveIncrease,region,Ratio
38,1245487,20200122,PA,2592484.0,10214576.0,47669234.0,12344405.0,11711579.0,5777657.0,7496886.0,7253154.0,2145912.0,650816.0,238436.0,34552.0,15837.0,37330527.0,889252.0,50389.0,0.0,0.0,N,0.7975738381798789
39,1245488,20200122,RI,204283.0,853032.0,4092905.0,1005885.0,1040933.0,501486.0,638703.0,650399.0,213662.0,33296.0,5448.0,1243.0,1850.0,3187007.0,38744.0,3093.0,0.0,0.0,N,0.806790786094967
40,1245489,20200122,SC,874714.0,4209413.0,18714142.0,4188980.0,4579782.0,2408232.0,3091378.0,3082067.0,933571.0,281671.0,118234.0,22551.0,7676.0,14268372.0,399905.0,30227.0,0.0,0.0,S,0.8279519768093913
41,1245490,20200122,SD,178198.0,704037.0,3128840.0,822462.0,876175.0,377759.0,416134.0,350172.0,162019.0,80413.0,35723.0,6013.0,1970.0,2492530.0,116136.0,7983.0,0.0,0.0,M,0.7980152680408281
42,1245491,20200122,TN,1225379.0,5544631.0,24629644.0,5581446.0,6006634.0,3057343.0,3961004.0,4111929.0,1302243.0,396101.0,159416.0,41014.0,12514.0,18606427.0,555517.0,53528.0,0.0,0.0,S,0.818998937963164
43,1245492,20200122,TX,4894002.0,23807843.0,94342336.0,22919481.0,23601024.0,11447711.0,14374874.0,14617012.0,5048091.0,1487997.0,643556.0,143141.0,59449.0,72343090.0,2131553.0,202590.0,0.0,0.0,S,0.8294882437000131
44,1245493,20200122,UT,603540.0,2557565.0,13192979.0,3436352.0,3425800.0,1668356.0,1980540.0,1767938.0,612277.0,174582.0,94744.0,23199.0,9191.0,10511048.0,269326.0,32390.0,0.0,0.0,W,0.8090730931114278
45,1245494,20200122,VT,132591.0,493708.0,2610642.0,582189.0,686204.0,343454.0,363763.0,421798.0,166251.0,37455.0,7594.0,772.0,1162.0,1975610.0,45049.0,1934.0,0.0,0.0,N,0.7882944089005411
46,1245495,20200122,VA,1557838.0,6959847.0,33549676.0,8333086.0,8063667.0,4119340.0,5261206.0,5330698.0,1753207.0,500847.0,144187.0,27696.0,15742.0,25777299.0,645034.0,43438.0,0.0,0.0,S,0.8171054693851675
47,1245496,20200122,WA,1450486.0,6085105.0,28438392.0,7707646.0,7291940.0,3396966.0,4278922.0,4125562.0,1217566.0,291011.0,89945.0,15132.0,23702.0,22675474.0,380956.0,38834.0,0.0,0.0,W,0.8075152964113896
48,1245497,20200122,WV,392298.0,1413534.0,6762898.0,1676554.0,1733604.0,851844.0,1013076.0,953957.0,369876.0,119360.0,37935.0,5373.0,1319.0,5275078.0,157295.0,6692.0,0.0,0.0,S,0.7827605225735285
49,1245498,20200122,WI,1080939.0,4732629.0,20417214.0,4635972.0,5012614.0,2499345.0,3202680.0,3293161.0,1216441.0,376849.0,143505.0,24759.0,11888.0,15350611.0,520354.0,36647.0,0.0,0.0,M,0.8140661638429274
50,1245499,20200122,WY,127973.0,449764.0,2317848.0,625177.0,680341.0,317369.0,234933.0,192195.0,149719.0,80124.0,32444.0,4011.0,1535.0,1857820.0,112568.0,5546.0,0.0,0.0,W,0.7784926359225738
51,1245500,20200123,AL,830008.0,4057863.0,15638587.0,3310832.0,3790801.0,2057390.0,2584748.0,2540811.0,891572.0,313638.0,116084.0,27059.0,5652.0,11743771.0,429722.0,32711.0,0.0,0.0,S,0.8301902812083216
52,1245501,20200123,AK,169112.0,568326.0,2799495.0,822724.0,754942.0,386074.0,396841.0,277951.0,123172.0,20754.0,11431.0,1754.0,3852.0,2360581.0,32185.0,5606.0,0.0,0.0,W,0.770676314483387
53,1245502,20200123,AZ,1386647.0,5784999.0,25594996.0,6997237.0,6136549.0,3039119.0,3760067.0,3945653.0,1199996.0,309029.0,155657.0,29747.0,21942.0,19932972.0,464686.0,51689.0,0.0,0.0,W,0.8066487107701635
54,1245503,20200123,AR,547502.0,2466323.0,9613508.0,2211413.0,2503006.0,1219819.0,1467763.0,1400918.0,521355.0,191088.0,77085.0,17744.0,3317.0,7402001.0,268173.0,21061.0,0.0,0.0,S,0.8183364992990635
55,1245504,20200123,CA,7240707.0,32316338.0,147526953.0,41448683.0,37323883.0,16960178.0,20870152.0,20575498.0,7357703.0,2204509.0,586759.0,131739.0,67849.0,116602896.0,2791268.0,199588.0,0.0,0.0,W,0.8169553109945397
56,1245505,20200123,CO,1178854.0,4516710.0,24877020.0,6465915.0,6199635.0,3000330.0,3836074.0,3789721.0,1051916.0,361069.0,113090.0,30352.0,28918.0,19501954.0,474159.0,59270.0,0.0,0.0,W,0.7930224293853954
57,1245506,20200123,CT,710936.0,2861729.0,13598641.0,3261215.0,3510361.0,1670517.0,1995250.0,2143735.0,761706.0,202028.0,35291.0,7375.0,11163.0,10437343.0,237319.0,18538.0,0.0,0.0,N,0.8010068114418788
58,1245507,20200123,DE,196572.0,770599.0,3697971.0,902515.0,897495.0,457138.0,588280.0,565582.0,214049.0,58062.0,13285.0,904.0,661.0,2845428.0,71347.0,1565.0,0.0,0.0,N,0.796755692633464
59,1245508,20200123,DC,205273.0,497182.0,3221710.0,1173804.0,801828.0,465420.0,458967.0,252254.0,52067.0,8673.0,3474.0,2300.0,2923.0,2900019.0,12147.0,5223.0,0.0,0.0,N,0.7077777224163826
60,1245509,20200123,FL,3675027.0,17624298.0,75564074.0,19508743.0,18826523.0,9684170.0,12021577.0,10980239.0,3194378.0,863512.0,348327.0,75595.0,61010.0,60041013.0,1211839.0,136605.0,0.0,0.0,S,0.8274580532481663
61,1245510,20200123,GA,1940098.0,8579377.0,37651903.0,8687473.0,9032090.0,4603909.0,5966941.0,5994160.0,2291309.0,663990.0,300863.0,79579.0,31589.0,28290413.0,964853.0,111168.0,0.0,0.0,S,0.815570834095808
62,1245511,20200123,HI,269013.0,1151478.0,5217751.0,1607183.0,1345602.0,606737.0,740721.0,798626.0,90688.0,19211.0,4868.0,2104.0,2011.0,4300243.0,24079.0,4115.0,0.0,0.0,W,0.8106197082558073
63,1245512,20200123,ID,349244.0,1404964.0,6061729.0,1548303.0,1676568.0,739828.0,875157.0,777521.0,283765.0,100512.0,47351.0,9174.0,3550.0,4839856.0,147863.0,12724.0,0.0,0.0,W,0.8009107243838816
64,1245513,20200123,IL,2679926.0,10061154.0,49355069.0,13248882.0,12162213.0,5755559.0,7295209.0,7387046.0,2568357.0,562509.0,268685.0,68590.0,38019.0,38461863.0,831194.0,106609.0,0.0,0.0,M,0.7896625717757051
65,1245514,20200123,IN,1310006.0,5381872.0,25852398.0,6421398.0,6447677.0,3149216.0,3930535.0,3933888.0,1352757.0,410640.0,156862.0,34052.0,15373.0,19948826.0,567502.0,49425.0,0.0,0.0,M,0.804239407831404
66,1245515,20200123,IA,647446.0,2508699.0,11510976.0,2926430.0,3106118.0,1340453.0,1576433.0,1586445.0,626591.0,222900.0,101332.0,17622.0,6652.0,8949434.0,324232.0,24274.0,0.0,0.0,M,0.7948617696588718
67,1245516,20200123,KS,581500.0,2330005.0,10410254.0,2686523.0,2787908.0,1225468.0,1441387.0,1416877.0,527776.0,195026.0,98786.0,21454.0,9049.0,8141286.0,293812.0,30503.0,0.0,0.0,M,0.8002751154471657
